id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,keyPass,qualifier/9/value,qualifier/11/value,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/10/value,qualifier/13/value,assist,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,shot_type,bodypart,type_of_play,distance_to_goal,angle_to_goal,shot_type_weight,inv_distance,angle_score,danger_score_fenwick,danger_score_corsi,isIntentionalAssist,RelatedPlayerId,isGoal,danger_score_logit
2825496191,46,13,1,2,50,x0vuldayagbmwazqjgbozu0v,1,78.7,35.2,2025-07-04T19:04:08.249Z,2025-07-05T01:27:13Z,5787144039.0,102.0,67.4,5787143515.0,153.0,,5787144049.0,147.0,48.9,5787144041.0,103.0,23.6,5787144051.0,230.0,98.4,5787142341.0,22.0,,5787144047.0,146.0,90.2,5787144037.0,73.0,,3uyzu7kyh7oe0ahcu7o22pfit,L. Dallmann,5787144053.0,231.0,47.1,5787144045.0,458.0,5787143511.0,20.0,5787142343.0,18.0,5787142345.0,56.0,Center,5787196173.0,215.0,5787144043.0,314.0,,,,,,,,,,,,,,,,,missed,right_foot,regular_play,25.93703915253242,34.79295164561695,0.5,0.7406296084746757,0.6134116483820339,0.6802753379044805,0.6802753379044805,False,-1,False,0.00492923881283858
2825497241,92,13,1,7,42,x0vuldayagbmwazqjgbozu0v,1,85.8,65.4,2025-07-04T19:09:00.494Z,2025-07-05T01:44:56Z,5787148109.0,22.0,,5787148413.0,230.0,98.6,5787148399.0,75.0,,5787148403.0,55.0,91,5787148111.0,64.0,,5787148415.0,231.0,52.7,5787148407.0,102.0,40.7,5787148141.0,72.0,,5uli2vvgaigz4yf05bwy81l2h,K. Bühl,5787148411.0,215.0,,5787148113.0,56.0,5787148401.0,29.0,5787148409.0,103.0,,,,,,,,,Center,1.4,,,,,,,,,,,,,,missed,left_foot,regular_play,20.947553556441864,47.321530589832726,0.5,0.7905244644355813,0.47420521566852525,0.6584713504747901,0.6584713504747901,False,-1,False,0.0027444903374640598
2825498673,109,13,1,13,51,3rnbwff9k3b56l8m83rpa3kij,1,95.8,62.8,2025-07-04T19:15:09.169Z,2025-07-05T01:57:53Z,5787156345.0,103.0,54.2,5787156353.0,231.0,52.2,5787156337.0,154.0,,5787156335.0,29.0,,5787161169.0,61.0,,5787156347.0,214.0,,5787156343.0,102.0,59.3,5787156333.0,77.0,,2u6w685ef24iwg0a43q64ibdg,E. Szymczak,5787161171.0,108.0,,5787156037.0,20.0,5787156349.0,328.0,5787155951.0,56.0,5787156339.0,55.0,108,5787156331.0,24.0,5787156351.0,230.0,,,Center,99.1,,,,,,,,,,,,,missed,right_foot,set_piece,13.471451295239126,71.83404347077446,0.5,0.8652854870476088,0.20184396143583938,0.6066673832497953,0.6066673832497953,True,-1,False,0.004593008067102225
2825499951,224,15,1,18,38,x0vuldayagbmwazqjgbozu0v,1,86.7,43.9,2025-07-04T19:19:56.410Z,2025-07-05T02:17:45Z,5787163491.0,231.0,48.2,5787163487.0,147.0,44.9,5787163475.0,55.0,222,5787163473.0,154.0,,5787163263.0,56.0,Center,5787163379.0,82.0,,5787163259.0,22.0,,5787163479.0,102.0,51.6,3uyzu7kyh7oe0ahcu7o22pfit,L. Dallmann,5787163261.0,17.0,,5787163471.0,29.0,5787163373.0,72.0,5787163469.0,78.0,5787163485.0,146.0,88.5,5787163483.0,215.0,5787164437.0,233.0,,,,136,5787163489.0,230.0,98.6,5787163481.0,103.0,19.0,,,,,,,blocked,left_foot,regular_play,14.632156368765335,24.638396724613855,0.0,0.8536784363123466,0.7262400363931794,0.6593433854428925,0.6593433854428925,True,-1,False,0.011095803807188621
2825501081,285,15,1,23,4,x0vuldayagbmwazqjgbozu0v,1,89.0,32.1,2025-07-04T19:24:22.648Z,2025-07-05T02:38:38Z,5787169833.0,55.0,284,5787169829.0,80.0,,5787169855.0,233.0,162,5787169843.0,147.0,47.1,5787492009.0,215.0,,5787169621.0,22.0,,5787169837.0,102.0,46.1,5787169623.0,63.0,,elrnwzbk985f5j49tn9gg9rai,J. Brand,5787169775.0,20.0,,5787169625.0,56.0,5787169839.0,103.0,5787169831.0,29.0,5787169841.0,146.0,99.3,,,,,,Center,,,,,,,,,5.1,,,,,,on_target,right_foot,regular_play,21.009759636892564,58.42822944822271,1.0,0.7899024036310743,0.3507974505753032,0.7212001966250207,0.7212001966250207,False,-1,False,0.01085381910226257
2825502879,361,13,1,32,14,x0vuldayagbmwazqjgbozu0v,1,90.8,52.2,2025-07-04T19:33:32.598Z,2025-07-05T03:03:49Z,5787179673.0,56.0,Center,5787180889.0,328.0,,5787181171.0,231.0,50.4,5787181151.0,73.0,,5787181161.0,102.0,98.8,5787181169.0,230.0,98.6,5787181153.0,29.0,,5787181163.0,103.0,16.7,96m4k5sb92ttshdu7ktfm2aqd,R. Knaak,5787180885.0,15.0,,5787181155.0,154.0,5787181165.0,146.0,5787180883.0,25.0,5787521475.0,391.0,,5787180891.0,153.0,5787180725.0,17.0,,,,,5787181167.0,147.0,99.5,5787181157.0,55.0,359.0,88.1,,,,,,missed,head,from_corner,9.459386872308379,13.448615051686529,0.5,0.9054061312769162,0.8505709438701496,0.8173337356718113,0.8173337356718113,True,-1,False,0.007760966253090599
2825502905,365,15,1,32,27,x0vuldayagbmwazqjgbozu0v,1,88.6,42.2,2025-07-04T19:33:44.900Z,2025-07-05T03:04:48Z,5787179863.0,15.0,,5787179905.0,147.0,47.8,5787179891.0,29.0,,5787179899.0,102.0,47.2,5787179833.0,56.0,Center,5787179903.0,146.0,98.8,5787179867.0,328.0,,5787179831.0,17.0,,4e5uudlm9l34xd07i6dlus6ax,G. Gwinn,5787179889.0,80.0,,5787179909.0,233.0,5787179901.0,103.0,5787179895.0,55.0,5787179861.0,25.0,,5787179893.0,154.0,,,,204,364,,,,,,,,13.9,,,,,,on_target,head,from_corner,13.81303731986561,34.38034472384484,1.0,0.8618696268013439,0.6179961697350573,0.8301467016410548,0.8301467016410548,True,-1,False,0.012810732759373231
2825503013,217,15,1,34,31,3rnbwff9k3b56l8m83rpa3kij,1,86.8,22.7,2025-07-04T19:35:49.604Z,2025-07-05T03:13:32Z,5787180513.0,22.0,,5787180693.0,231.0,46.9,5787180515.0,63.0,,5787180679.0,102.0,46.7,5787180517.0,56.0,Center,5787180689.0,147.0,25.1,5787180681.0,103.0,19,5787180695.0,233.0,381,72k8bot1ynshrxvf926ga7euh,P. Tomasiak,5787180673.0,29.0,,5787180683.0,215.0,5787180573.0,72.0,5787180675.0,55.0,5787180687.0,146.0,88.1,5787180691.0,230.0,5787180685.0,82.0,,,216,,5787530231.0,80.0,,,,,,98.5,,,,,blocked,left_foot,regular_play,30.323753065872307,64.19546760005288,0.0,0.696762469341277,0.2867170266660791,0.46472009573633455,0.46472009573633455,False,-1,False,0.0025008306250797066
2825503073,223,15,1,35,22,3rnbwff9k3b56l8m83rpa3kij,1,78.0,65.8,2025-07-04T19:36:40.805Z,2025-07-05T03:16:55Z,5787181871.0,147.0,64.8,5787180853.0,56.0,Center,5787181849.0,20.0,,5787531939.0,76.0,,5787181869.0,146.0,79.8,5787531941.0,215.0,,5787181847.0,25.0,,5787181863.0,102.0,53.7,3o1we6pb4axflmhkn1r0b01xx,E. Kamczyk,5787181875.0,231.0,51.3,5787181877.0,233.0,5787181853.0,82.0,5787181873.0,230.0,5787181865.0,103.0,19,5787181867.0,458.0,5787180851.0,18.0,,385,98.5,,,,,,,,,,,,,,blocked,right_foot,from_corner,27.08578963220382,35.685220245710234,0.0,0.7291421036779617,0.6034975528254418,0.5727061073188172,0.5727061073188172,False,-1,False,0.005840565875237679
2825503077,224,13,1,35,24,3rnbwff9k3b56l8m83rpa3kij,1,76.5,66.6,2025-07-04T19:36:42.085Z,2025-07-05T03:17:50Z,5787182183.0,146.0,82.9,5787182173.0,102.0,12.4,5787532739.0,391.0,,5787180869.0,18.0,,5787181979.0,153.0,,5787182185.0,147.0,51.3,5787182177.0,108.0,,5787182175.0,103.0,6.9,9hmgd3x5tekj4fnf0zju3i1ud,E. Pajor,5787182187.0,230.0,98.8,5787180871.0,56.0,5787532737.0,215.0,5787181973.0,25.0,5787182189.0,231.0,51.8,5787182181.0,458.0,5787181975.0,20.0,,Center,,,5787182179.0,328.0,,5787182171.0,75.0,,,,,,,,missed,right_foot,from_corner,28.771687472235616,35.236733030788926,0.5,0.7122831252776438,0.6084807441023452,0.6674574733417611,0.6674574733417611,False,-1,False,0.002061031786710764
2825503097,228,15,1,35,32,3rnbwff9k3b56l8m83rpa3kij,1,72.9,43.4,2025-07-04T19:36:50.605Z,2025-07-05T03:20:02Z,5787180979.0,18.0,,5787182433.0,55.0,227,5787182683.0,22.0,,5787182447.0,230.0,98.1,5787182359.0,82.0,,5787182451.0,233.0,390,5787182439.0,103.0,19,5787182431.0,29.0,,evj0ml9adsu9p9nwxnmjvqdm2,N. Padilla-Bidas,5787182355.0,20.0,,5787180981.0,56.0,5787182443.0,146.0,5787182437.0,102.0,5787182445.0,147.0,44.6,5787534737.0,78.0,5787182449.0,231.0,,Center,49.0,50.4,5787182441.0,215.0,,,,,78.6,,,,,,blocked,right_foot,regular_play,27.892113580723848,13.687490856324265,0.0,0.7210788641927615,0.8479167682630637,0.6428065761560237,0.6428065761560237,False,-1,False,0.009573397564849517
2825503101,229,15,1,35,34,3rnbwff9k3b56l8m83rpa3kij,1,88.6,48.7,2025-07-04T19:36:52.486Z,2025-07-05T03:20:32Z,5787182755.0,233.0,391,5787181009.0,17.0,,5787181339.0,458.0,,5787181341.0,146.0,89.9,5787181291.0,20.0,,5787181011.0,56.0,Center,5787535035.0,76.0,,5787181343.0,147.0,49.3,9hmgd3x5tekj4fnf0zju3i1ud,E. Pajor,5787181347.0,231.0,49.5,5787181335.0,102.0,5787181007.0,22.0,5787181337.0,103.0,5787181345.0,230.0,97.2,5787181295.0,82.0,,,,53.7,19,,,,,,,,,,,,,,blocked,right_foot,regular_play,11.473883387938022,6.505626645683664,0.0,0.8852611661206198,0.9277152594924037,0.732419044295969,0.732419044295969,False,-1,False,0.017712368917623986
2825503445,413,13,1,40,10,x0vuldayagbmwazqjgbozu0v,1,88.3,42.2,2025-07-04T19:41:28.513Z,2025-07-05T03:27:05Z,5787539337.0,87.0,,5787183163.0,103.0,47.2,5787183153.0,29.0,,5787183119.0,15.0,,5787183157.0,55.0,411,5787183165.0,230.0,98.5,5787183059.0,56.0,Center,5787183167.0,231.0,48.4,2ij21gq2d0xqcyho9t49glkvd,J. Minge,5787183155.0,154.0,,5787183117.0,25.0,5787183123.0,328.0,5787183161.0,102.0,5787183057.0,17.0,,,,,,,,41.0,,,,,,,,,,,,,,missed,head,from_corner,14.061649974309558,33.69006752597977,0.5,0.8593835002569044,0.6256659163780025,0.7314531750161625,0.7314531750161625,True,-1,False,0.005960129888628491
2825503649,440,15,1,42,1,x0vuldayagbmwazqjgbozu0v,1,76.9,59.7,2025-07-04T19:43:19.032Z,2025-07-05T04:07:10Z,5787184429.0,147.0,59.2,5787184421.0,215.0,,5787184433.0,231.0,51.1,5787184419.0,103.0,19,5787184229.0,22.0,,5787184409.0,20.0,,5787184233.0,56.0,Center,5787184435.0,233.0,252,agdmqurwrf5k6izewj4voxcdl,S. Nüsken,5787184413.0,82.0,,5787184231.0,18.0,5787184425.0,458.0,5787184415.0,78.0,5787184431.0,230.0,97.6,5787184423.0,328.0,5787184427.0,146.0,,,,78.5,5787184417.0,102.0,51.3,,,,,,,,,,blocked,right_foot,regular_play,25.0539418056321,22.778188774611408,0.0,0.749460581943679,0.7469090136154288,0.6238569368621002,0.6238569368621002,False,-1,False,0.008841079894991841
2825503941,474,13,1,46,13,x0vuldayagbmwazqjgbozu0v,1,76.2,29.9,2025-07-04T19:47:31.599Z,2025-07-05T04:14:07Z,5787186231.0,103.0,52.8,5787186119.0,26.0,,5787186121.0,18.0,,5787186227.0,85.0,,5787186225.0,121.0,,5787186237.0,231.0,50,5787186123.0,56.0,Center,5787186195.0,72.0,,5uli2vvgaigz4yf05bwy81l2h,K. Bühl,5787186235.0,230.0,98.9,5787186229.0,102.0,5787186233.0,458.0,,,,,,,,,,,53.4,,,,,,,,,,,,,,,missed,left_foot,free_kick,31.15204648173214,40.18235664806041,0.5,0.6884795351826787,0.5535293705771065,0.6414506252462034,0.6414506252462034,False,-1,False,0.001032416330811285
2825504191,491,13,1,47,26,x0vuldayagbmwazqjgbozu0v,1,91.1,48.5,2025-07-04T19:48:44.710Z,2025-07-05T04:19:55Z,5787187701.0,391.0,,5787187693.0,75.0,,5787187507.0,72.0,,5787187697.0,103.0,9.7,5787187695.0,102.0,38.7,5787187433.0,22.0,,5787187705.0,230.0,99.0,5787187707.0,231.0,52.3,bwhwthiud4nqvdjy8rq1gcdsl,L. Schüller,5787187435.0,17.0,,5787187703.0,458.0,5787187437.0,56.0,5787191507.0,214.0,5787187699.0,328.0,,,,,,,,,,,,,,,,Center,,,,,,missed,left_foot,regular_play,9.025519375637067,9.56668598971441,0.5,0.9097448062436293,0.8937034890031732,0.8320089691984036,0.8320089691984036,False,-1,False,0.010327804564218019
