id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/10/value,qualifier/11/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/15/value,assist,qualifier/14/value,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,qualifier/21/id,qualifier/21/qualifierId,shot_type,bodypart,type_of_play,distance_to_goal,angle_to_goal,shot_type_weight,inv_distance,angle_score,danger_score_fenwick,danger_score_corsi,isIntentionalAssist,RelatedPlayerId,isGoal,danger_score_logit
2826131819,25,13,1,1,3,70yx9y5zxeojm8sde0qyolzpl,1,78.4,41.4,2025-07-07T16:01:38.705Z,2025-07-07T19:15:52Z,5790695439.0,231.0,49.5,5790695431.0,102.0,61.7,5790695423.0,73.0,,5790695425.0,29.0,,5790695435.0,215.0,,5790694877.0,56.0,Center,5790695433.0,103.0,19.4,5790695285.0,20.0,,7mehm5v7egyc1r4qioexklbmc,Vicky López,,5790695427.0,55.0,24,5790812011.0,468.0,569,5790694875.0,18.0,5790694873.0,22.0,5790695437.0,230.0,98.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,missed,right_foot,regular_play,23.249086003540004,21.70988275987125,0.5,0.7675091399645999,0.7587790804458749,0.7346373801196024,0.7346373801196024,False,-1,False,0.007321144792634867
2826132215,38,13,1,4,34,drt9red7q1dqqkq510znzyr0q,1,81.2,61.5,2025-07-07T16:05:09.496Z,2025-07-07T19:28:11Z,5790697147.0,230.0,98.2,5790697067.0,22.0,,5790697131.0,75.0,,5790697133.0,29.0,,5790697135.0,154.0,,5790697145.0,328.0,,5790697143.0,103.0,13.9,5790697099.0,72.0,,9cmaj96tmze645o322ywm44b9,M. Toloba,,5790697069.0,18.0,,5790697403.0,121.0,,5790697141.0,102.0,5790697071.0,56.0,5790697137.0,55.0,37,39.7,Center,5790697149.0,231.0,51.6,,,,,,,,,,,,,,,,,,,,,,,,missed,left_foot,regular_play,22.03837562072123,31.454214260129323,0.5,0.7796162437927877,0.6505087304430075,0.7069991166500174,0.7069991166500174,True,-1,False,0.0036901762388774793
2826132677,106,15,1,8,23,70yx9y5zxeojm8sde0qyolzpl,1,85.2,56.4,2025-07-07T16:08:59.213Z,2025-07-07T19:36:32Z,5790699633.0,231.0,50.5,5790699625.0,328.0,,5790699617.0,55.0,105,5790699623.0,103.0,19,5790699629.0,147.0,50.9,5790699631.0,230.0,99.1,5790699621.0,102.0,48.5,5790699639.0,233.0,58,aib5wgtlgl48jaezcguoxkmp5,Clàudia Pina,,5790699485.0,56.0,Center,5790699483.0,17.0,,5790699615.0,154.0,5790699627.0,146.0,5790699613.0,29.0,,,93.6,5790699555.0,20.0,,5790699559.0,82.0,5790699481.0,22.0,5790699611.0,78.0,,,,,,,,,,,,,,,,,,blocked,right_foot,regular_play,16.124515496597095,23.385221057213755,0.0,0.8387548450340291,0.7401642104754027,0.6575512011562324,0.6575512011562324,True,-1,False,0.0124519490181702
2826132989,132,13,1,10,39,70yx9y5zxeojm8sde0qyolzpl,1,71.5,48.5,2025-07-07T16:11:14.624Z,2025-07-07T16:11:54Z,5790701421.0,29.0,,5790701303.0,22.0,,5790701431.0,215.0,,5790701305.0,18.0,,5790701429.0,103.0,4.2,5790701423.0,55.0,131,5790701433.0,230.0,98.2,5790701435.0,231.0,50,cq38p3rul6qi2tpvr077v8n6y,Olga Carmona,,5790701307.0,56.0,Center,5790701341.0,72.0,,5790701419.0,75.0,5790701427.0,102.0,,,,,38.8,,,,,,,,,,,,,,,,,,,,,,,,,,,missed,left_foot,regular_play,28.53944638566067,3.0127875041833403,0.5,0.7146055361433933,0.9665245832868518,0.7757995894434128,0.7757995894434128,False,-1,False,0.004519691376738116
2826134103,237,13,1,18,44,70yx9y5zxeojm8sde0qyolzpl,1,73.4,74.6,2025-07-07T16:19:19.494Z,2025-07-07T20:15:17Z,5790707507.0,231.0,51.3,5790856543.0,86.0,,5790707443.0,72.0,,5790707397.0,18.0,,5790707495.0,55.0,236,5790707503.0,215.0,,5790707399.0,56.0,Center,5790707505.0,230.0,98.4,cq38p3rul6qi2tpvr077v8n6y,Olga Carmona,,5790707493.0,29.0,,5790707395.0,22.0,,5790707499.0,102.0,5790707501.0,103.0,,,,56.8,44.4,,,,,,,,,,,,,,,,,,,,,,,,,,,missed,left_foot,regular_play,36.23147802671041,42.7630209365623,0.5,0.6376852197328959,0.5248553229270856,0.612530684771284,0.612530684771284,False,-1,False,0.0
2826134441,280,15,1,20,55,70yx9y5zxeojm8sde0qyolzpl,1,79.0,42.3,2025-07-07T16:21:31.282Z,2025-07-07T22:23:56Z,5790709623.0,102.0,48.3,5790709625.0,103.0,19,5790709635.0,231.0,49.5,5790709433.0,20.0,,5790709633.0,230.0,98.4,5790709631.0,147.0,42.8,5790709629.0,146.0,81.1,5790709181.0,56.0,Center,7mehm5v7egyc1r4qioexklbmc,Vicky López,,5790709177.0,22.0,,5790709627.0,215.0,,5790709615.0,29.0,5790709179.0,18.0,5790709437.0,82.0,,,,5790709637.0,233.0,126,5790709611.0,78.0,5790709619.0,55.0,,,279,,,,,,,,,,,,,,,,,blocked,right_foot,regular_play,22.36716343213864,20.13630342824814,0.0,0.7763283656786136,0.7762632952416874,0.6434103348439516,0.6434103348439516,False,-1,False,0.012488310004189741
2826134475,285,16,1,21,12,70yx9y5zxeojm8sde0qyolzpl,1,88.9,40.3,2025-07-07T16:21:47.490Z,2025-07-07T22:26:10Z,5790709495.0,72.0,,5790709503.0,375.0,21:11.309,5790709321.0,22.0,,5790709851.0,102.0,52.6,5790709845.0,154.0,,5790710393.0,120.0,,5790709859.0,231.0,47.7,5790709843.0,29.0,,5exouoey2r6wtpympr6drg3it,Alèxia Putellas,,5790709325.0,56.0,Center,5790709853.0,103.0,20.3,5790709855.0,230.0,5790709323.0,17.0,5790709841.0,77.0,,98.2,,5790709499.0,374.0,2025-07-07 17:21:46.686,5790926669.0,396.0,5790926667.0,395.0,5790709847.0,55.0,98.1,,50.4,284,,,,,,,,,,,,,,goal,left_foot,regular_play,14.741099009232654,41.14936117608927,1.2,0.8525890099076735,0.5427848758212304,0.8438710667094385,0.8438710667094385,True,-1,True,0.9807416691646679
2826134697,135,16,1,23,20,drt9red7q1dqqkq510znzyr0q,1,97.3,54.2,2025-07-07T16:23:55.501Z,2025-07-07T22:29:59Z,5790710769.0,25.0,,5790710771.0,15.0,,5790711021.0,230.0,98.9,5790711009.0,154.0,,5790711017.0,103.0,13.9,5790928795.0,395.0,1.2,5790710715.0,56.0,Center,5790710713.0,16.0,,1o571356wx95l3qbpbe00o991,J. Vanhaevermaet,,5790928797.0,396.0,46.8,5790711015.0,102.0,54.0,5790711023.0,231.0,5790710775.0,328.0,5790711005.0,76.0,,53.1,,5790711011.0,55.0,133,5790711019.0,214.0,5790710781.0,375.0,5790711007.0,29.0,23:19.883,,,,5790710777.0,374.0,2025-07-07 17:23:55.260,,,,,,,,,,,goal,head,from_corner,4.992995093127976,57.26477372789239,1.2,0.9500700490687203,0.3637247363567512,0.8291454405345134,0.8291454405345134,True,-1,True,0.9892593663617625
2826134971,328,13,1,26,4,70yx9y5zxeojm8sde0qyolzpl,1,91.5,56.4,2025-07-07T16:26:39.730Z,2025-07-07T22:41:58Z,5790712305.0,22.0,,5790937147.0,75.0,,5790712371.0,328.0,,5790712417.0,231.0,52.0,5790712403.0,29.0,,5790712405.0,154.0,,5790712309.0,56.0,Center,5790712307.0,17.0,,13hy7ggmnhfalmdqlbp6lzv11,Esther González,,5790712411.0,102.0,40.5,5790712367.0,15.0,,5790712413.0,103.0,5790712407.0,55.0,5790712415.0,230.0,98.9,26.4,327,,,,,,,,,,,,,,,,,,,,,,,,,,,missed,head,regular_play,10.640018796975877,36.9775963526725,0.5,0.8935998120302412,0.5891378183036389,0.7341812703031881,0.7341812703031881,True,-1,False,0.007776581423352658
2826135441,374,15,1,30,16,70yx9y5zxeojm8sde0qyolzpl,1,80.8,45.6,2025-07-07T16:30:51.874Z,2025-07-07T23:14:17Z,5790715521.0,231.0,49.6,5790715501.0,78.0,,5790715529.0,233.0,171,5790715509.0,102.0,49.8,5790714963.0,56.0,Center,5790715517.0,147.0,46.0,5790959213.0,468.0,571,5790715513.0,215.0,,13hy7ggmnhfalmdqlbp6lzv11,Esther González,,5790715515.0,146.0,82.7,5790715267.0,20.0,,5790714961.0,18.0,5790715271.0,82.0,5790715503.0,29.0,,,,5790715505.0,55.0,372,5790715511.0,103.0,5790715519.0,230.0,5790714959.0,22.0,97.3,,19,,,,,,,,,,,,,,,blocked,right_foot,regular_play,19.69771560359221,12.907408671265832,0.0,0.8030228439640779,0.8565843480970463,0.678184442014745,0.678184442014745,False,-1,False,0.013864774747759354
2826135519,377,13,1,31,1,70yx9y5zxeojm8sde0qyolzpl,1,91.8,41.5,2025-07-07T16:31:37.083Z,2025-07-07T23:15:40Z,5790716805.0,108.0,,5790715609.0,231.0,49.1,5790715601.0,102.0,41.3,5790715465.0,17.0,,5790715591.0,84.0,,5790715605.0,328.0,,5790715593.0,29.0,,5790715603.0,103.0,15.3,bgzh3zwl99bpnnpj37jn4dmtx,Irene Paredes,,5790715595.0,154.0,,5790715467.0,56.0,Center,5790715597.0,55.0,5790715553.0,25.0,5790715555.0,20.0,,376.0,,5790715607.0,230.0,98.9,,,,,,,,,,,,,,,,,,,,,,,,missed,right_foot,from_corner,11.810588469674153,46.02915480430597,0.5,0.8818941153032585,0.48856494661882255,0.6993271301069501,0.6993271301069501,True,-1,False,0.008973681542948303
2826135967,432,15,1,34,34,70yx9y5zxeojm8sde0qyolzpl,1,75.1,39.4,2025-07-07T16:35:09.450Z,2025-07-07T16:36:04Z,5790718545.0,230.0,98.4,5790718543.0,147.0,42.8,5790717957.0,22.0,,5790718541.0,146.0,82.1,5790718527.0,78.0,,5790718537.0,103.0,19,5790718549.0,233.0,197,5790717961.0,56.0,Center,aib5wgtlgl48jaezcguoxkmp5,Clàudia Pina,,5790718539.0,215.0,,5790718547.0,231.0,49.3,5790717959.0,18.0,5790718395.0,20.0,5790718529.0,29.0,,,,5790718531.0,55.0,430,5790718399.0,82.0,5790718535.0,102.0,,,51.3,,,,,,,,,,,,,,,,,blocked,right_foot,regular_play,27.062335449846163,23.059590836043775,0.0,0.7293766455015384,0.743782324043958,0.6148853554138027,0.6148853554138027,False,-1,False,0.010424973477165119
2826136475,490,16,1,38,42,70yx9y5zxeojm8sde0qyolzpl,1,91.4,57.5,2025-07-07T16:39:18.081Z,2025-07-07T23:36:31Z,5790721043.0,374.0,2025-07-07 17:39:17.459,5790721171.0,231.0,52.3,5790721169.0,230.0,98.4,5790720745.0,17.0,,5790721161.0,55.0,488,5790979961.0,395.0,98.6,5790721047.0,375.0,38:42.082,5790721159.0,154.0,,bgzh3zwl99bpnnpj37jn4dmtx,Irene Paredes,,5790720747.0,56.0,Center,5790721165.0,102.0,53.0,5790721157.0,29.0,5790721041.0,328.0,5790721037.0,15.0,,,,5790721167.0,103.0,30.4,5790979963.0,396.0,5790721155.0,77.0,5790721035.0,25.0,,,52.3,,,,,,,,,,,,,,,goal,head,from_corner,11.410959644131598,41.09145570554057,1.2,0.885890403558684,0.5434282699384381,0.857384642405005,0.857384642405005,True,-1,True,0.9772383411668969
2826136921,548,15,1,43,22,70yx9y5zxeojm8sde0qyolzpl,1,85.3,49.5,2025-07-07T16:43:57.736Z,2025-07-07T23:45:00Z,5790723655.0,328.0,,5790723653.0,103.0,19,5790723641.0,78.0,,5790723615.0,72.0,,5790723619.0,82.0,,5790723651.0,102.0,49.3,5790723643.0,29.0,,5790723645.0,154.0,,5exouoey2r6wtpympr6drg3it,Alèxia Putellas,,5790723659.0,147.0,49.5,5790723657.0,146.0,88.2,5790723661.0,230.0,5790723403.0,17.0,5790723405.0,56.0,Center,97.8,,5790723647.0,55.0,547,5790723665.0,233.0,5790723663.0,231.0,5790723401.0,22.0,49.6,,247,,,,,,,,,,,,,,,blocked,left_foot,regular_play,14.70850094333206,1.9480850065149489,0.0,0.8529149905666794,0.9783546110387228,0.7346723795382886,0.7346723795382886,True,-1,False,0.011889425773516885
2826138809,642,13,2,48,25,70yx9y5zxeojm8sde0qyolzpl,1,79.6,46.0,2025-07-07T17:06:13.358Z,2025-07-08T00:00:58Z,5790734057.0,230.0,98.9,5790734047.0,55.0,641,5790733875.0,72.0,,5790734055.0,215.0,,5790734053.0,103.0,8.3,5790733783.0,18.0,,5790733785.0,56.0,Center,5790734051.0,102.0,43.2,5ovqn6llocczhae9n1kzj5nf9,Aitana Bonmatí,,5790734043.0,84.0,,5790734059.0,231.0,49.3,5790734045.0,29.0,5790733781.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,missed,left_foot,regular_play,20.78845833629806,11.093723011557845,0.5,0.7921154166370195,0.8767364109826906,0.779867089949615,0.779867089949615,False,-1,False,0.006626521454687414
2826139185,299,16,2,49,4,drt9red7q1dqqkq510znzyr0q,1,86.9,44.0,2025-07-07T17:06:52.602Z,2025-07-08T00:02:56Z,5790735707.0,20.0,,5790735967.0,214.0,,5790735641.0,17.0,,5790735977.0,273.0,,5790735711.0,374.0,2025-07-07 18:06:51.741,5790735955.0,29.0,,5790735953.0,80.0,,5790735965.0,103.0,17.7,5rzau8le6m0zzack6pdapptgq,H. Eurlings,,5790735963.0,102.0,46.0,5790735973.0,231.0,47.1,5790735975.0,138.0,5790736051.0,343.0,5790991621.0,89.0,,,3,5790735957.0,154.0,,5790735715.0,375.0,5790735959.0,55.0,5790735643.0,56.0,295,,49:04.120,Center,5790991625.0,396.0,46.2,5790991623.0,395.0,93.2,5790735639.0,22.0,5790735971.0,230.0,93.2,5790735969.0,136.0,goal,right_foot,regular_play,14.408677940741123,24.608502804514504,1.2,0.8559132205925888,0.72657219106095,0.9003369455553205,0.9003369455553205,True,-1,True,0.99310360400667
2826139319,655,16,2,51,58,70yx9y5zxeojm8sde0qyolzpl,1,90.6,39.1,2025-07-07T17:09:46.214Z,2025-07-08T00:06:25Z,5790736479.0,22.0,,5790736617.0,20.0,,5790993395.0,89.0,,5790736717.0,230.0,94.6,5790736701.0,76.0,,5790993397.0,395.0,6.7,5790736483.0,56.0,Center,5790736713.0,103.0,5.1,13hy7ggmnhfalmdqlbp6lzv11,Esther González,,5790736715.0,214.0,,5790736623.0,374.0,2025-07-07 18:09:45.473,5790736703.0,29.0,5790736705.0,154.0,5790993399.0,396.0,57.9,,,5790736627.0,375.0,51:57.852,5790736707.0,55.0,5790736719.0,231.0,5790736619.0,17.0,43.7,,654,,5790736711.0,102.0,52.9,,,,,,,,,,,goal,right_foot,regular_play,14.393401265857909,49.22599817795843,1.2,0.8560659873414209,0.4530444646893508,0.8183397343433736,0.8183397343433736,True,-1,True,0.9877932021015041
