id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,keyPass,qualifier/10/value,qualifier/8/value,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/15/value,qualifier/16/value,assist,shot_type,bodypart,type_of_play,distance_to_goal,angle_to_goal,shot_type_weight,inv_distance,angle_score,danger_score_fenwick,danger_score_corsi,isIntentionalAssist,RelatedPlayerId,isGoal,danger_score_logit
2826000143,9,14,1,0,44,aewmai6kvk2mousj7x17ivnc3,1,85.9,59.3,2025-07-06T19:02:15.436Z,2025-07-06T19:02:29Z,5789971583.0,56.0,Center,5789971847.0,74.0,,5789971855.0,328.0,,5789971849.0,102.0,54.0,5789971851.0,103.0,39.9,5789971797.0,160.0,,5789971859.0,230.0,99.5,5789971857.0,458.0,,41zohhwv521e5ip9f6xw0b00l,I. Sigurðardóttir,5789971581.0,17.0,5789971861.0,231.0,51.1,5789971853.0,108.0,5789971765.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,post,right_foot,throw_in_set_piece,16.89082591231109,33.40782458970893,0.7,0.8310917408768891,0.6288019490032342,0.7610772810517259,0.7610772810517259,False,-1,False,0.06245546481294873
2826000599,17,13,1,2,10,65bdix24paj4i7niwm61pbrx9,1,86.3,46.6,2025-07-06T19:03:41.291Z,2025-07-06T19:04:13Z,5789974677.0,15.0,,5789974681.0,328.0,,5789974675.0,25.0,,5789975045.0,102.0,40.3,5789975039.0,154.0,,5789975037.0,29.0,,5789975041.0,55.0,16,5789973957.0,17.0,,1n0m61yur5f3fcfgvogm23kk5,J. Stierli,5789973959.0,56.0,5789975051.0,231.0,49.8,5789975049.0,230.0,5789975047.0,103.0,,98.6,Center,55.6,5789975035.0,81.0,,,,,,,,,,,,,,,,,,,,missed,head,from_corner,14.115594213493107,13.937797208254231,0.5,0.8588440578650689,0.845135586574953,0.7970782991185135,0.7970782991185135,True,-1,False,0.005591876439981721
2826004947,104,15,1,14,21,aewmai6kvk2mousj7x17ivnc3,1,87.6,69.6,2025-07-06T19:15:52.084Z,2025-07-06T19:16:54Z,5789998279.0,64.0,,5789998281.0,56.0,Center,5789998699.0,147.0,65.5,5789998697.0,146.0,90.2,5789998695.0,458.0,,5789998703.0,231.0,50.9,5789998691.0,102.0,50.1,5790000577.0,78.0,,9ov9x5gap2t34kv8clhwjqvh1,D. Brynjarsdóttir,5790000579.0,328.0,5789998551.0,72.0,,5789998701.0,230.0,5790000575.0,160.0,,99.1,,,5789998705.0,233.0,126,5789998693.0,103.0,19.0,5789998555.0,82.0,,,,,,,,,,,,,,blocked,left_foot,throw_in_set_piece,23.19310242291876,57.6803834918198,0.0,0.7680689757708123,0.35910685009089105,0.5149596453355922,0.5149596453355922,False,-1,False,0.004132011320033339
2826014271,285,15,1,40,39,aewmai6kvk2mousj7x17ivnc3,1,88.0,44.8,2025-07-06T19:42:10.732Z,2025-07-06T19:44:48Z,5790051033.0,103.0,12.7,5790051061.0,233.0,321,5790053355.0,78.0,,5790050811.0,160.0,,5790050725.0,56.0,Center,5790051031.0,102.0,50.2,5790051035.0,108.0,,5790055197.0,458.0,,3yb4zwodejg6ohd9xippme0np,S. Jessen,5790051037.0,328.0,5790051039.0,146.0,99.1,5790050723.0,17.0,5790050813.0,72.0,,,,,5790051041.0,147.0,50,,,,,,,,,,,,,,,,,,,on_target,left_foot,throw_in_set_piece,13.078226179417452,23.428692808745414,1.0,0.8692177382058255,0.7396811910139398,0.8695914525865122,0.8695914525865122,False,-1,False,0.01861528623805175
2826015483,355,13,1,44,9,65bdix24paj4i7niwm61pbrx9,1,73.4,50.3,2025-07-06T19:45:40.136Z,2025-07-06T19:48:49Z,5790057597.0,29.0,,5790057599.0,55.0,353,5790057603.0,102.0,38.2,5790057353.0,18.0,,5790057611.0,231.0,48.7,5790057595.0,81.0,,5790057489.0,20.0,,5790057487.0,23.0,,3420vq0z953hw7ndu07n7jy1g,S. Schertenleib,5790057605.0,103.0,5790057607.0,215.0,,5790057609.0,230.0,5790057355.0,56.0,,98.6,86.1,Center,,,,,,,,,,,,,,,,,,,,,,missed,right_foot,fast_break,26.60169167553071,0.6461656060315649,0.5,0.733983083244693,0.9928203821552049,0.7914393479444386,0.7914393479444386,False,-1,False,0.003779474147528408
2826016349,377,13,1,47,5,65bdix24paj4i7niwm61pbrx9,1,69.9,35.2,2025-07-06T19:48:36.862Z,2025-07-06T19:50:20Z,5790062245.0,18.0,,5790062705.0,113.0,,5790062723.0,231.0,48.7,5790062563.0,20.0,,5790062713.0,215.0,,5790062709.0,102.0,43.9,5790062707.0,84.0,,5790062247.0,56.0,Center,7qriv77djurpyvs986k0pppg4,I. Beney,5790062719.0,458.0,5790062717.0,328.0,,5790062721.0,230.0,5790062561.0,24.0,,98.5,,,5790062711.0,103.0,34.7,5790062715.0,108.0,,,,,,,,,,,,,,,,,missed,right_foot,set_piece,33.54176501020779,26.183084972348965,0.5,0.6645823498979221,0.7090768336405671,0.6785559900513389,0.6785559900513389,False,-1,False,0.002687194276973135
2826019087,374,14,2,47,23,aewmai6kvk2mousj7x17ivnc3,1,71.4,60.8,2025-07-06T20:09:23.755Z,2025-07-06T20:09:49Z,5790078191.0,102.0,47.7,5790078195.0,458.0,,5790078199.0,231.0,51.1,5790078197.0,230.0,98.4,5790077787.0,26.0,,5790077789.0,18.0,,5790078187.0,122.0,,5790078189.0,74.0,,70n6epbcr1l9dvzqrddsbax2h,K. Vilhjálmsdóttir,5790078193.0,103.0,5790077883.0,20.0,,5790077791.0,56.0,,,,Center,39.2,,,,,,,,,,,,,,,,,,,,,,,post,right_foot,free_kick,30.571228303749912,20.687658570434856,0.7,0.6942877169625008,0.7701371269951682,0.7487562248835508,0.7487562248835508,False,-1,False,0.033852307741999495
2826019205,446,15,2,48,2,65bdix24paj4i7niwm61pbrx9,1,79.2,50.0,2025-07-06T20:10:02.476Z,2025-07-06T20:10:37Z,5790079561.0,231.0,49.5,5790079553.0,215.0,,5790078537.0,56.0,Center,5790079543.0,29.0,,5790079453.0,82.0,,5790079101.0,18.0,,5790079563.0,233.0,378,5790079549.0,102.0,51.3,3420vq0z953hw7ndu07n7jy1g,S. Schertenleib,5790079555.0,146.0,5790079551.0,103.0,19,5790079449.0,20.0,5790079541.0,78.0,,,82.0,,5790079559.0,230.0,99.3,5790079557.0,147.0,50.2,5790079099.0,22.0,,5790079545.0,55.0,,,,,,,,445.0,,,blocked,right_foot,regular_play,20.799999999999997,0.0,0.0,0.792,1.0,0.7168,0.7168,False,-1,False,0.011514516236194641
2826019333,453,13,2,48,26,65bdix24paj4i7niwm61pbrx9,1,89.3,31.2,2025-07-06T20:10:26.605Z,2025-07-06T20:10:46Z,5790079753.0,84.0,,5790079765.0,103.0,4.2,5790079293.0,22.0,,5790079771.0,231.0,45.8,5790079767.0,328.0,,5790079769.0,230.0,97.8,5790079297.0,56.0,Center,5790079763.0,102.0,42.4,dzisqj9zjrxdxmqeu8kof95d6,S. Fölmli,5790079755.0,29.0,5790079757.0,154.0,,5790079759.0,55.0,5790079295.0,63.0,,452,,,5790079675.0,20.0,,,,,,,,,,,,,,,,,,,,missed,right_foot,regular_play,21.631689716709605,60.353677859594214,0.5,0.783683102832904,0.32940357933784203,0.6122943149345141,0.6122943149345141,True,-1,False,0.0026007076390964132
2826019909,401,15,2,50,36,aewmai6kvk2mousj7x17ivnc3,1,75.2,79.0,2025-07-06T20:12:37.090Z,2025-07-06T20:12:56Z,5790082943.0,215.0,,5790082953.0,231.0,51.6,5790083113.0,55.0,400,5790082859.0,82.0,,5790082939.0,102.0,51.3,5790082937.0,78.0,,5790082749.0,56.0,Left,5790082747.0,68.0,,9vgflgmrmvq8i95t3n70sur55,S. Jónsdóttir,5790082941.0,103.0,5790083117.0,233.0,476,5790082951.0,230.0,5790083111.0,29.0,,99.0,19,,5790082935.0,160.0,,5790082949.0,147.0,74.7,5790082855.0,20.0,,5790082947.0,146.0,,,,,,,,79.0,,,blocked,right_foot,throw_in_set_piece,38.15809219549636,49.46385118196837,0.0,0.6184190780450365,0.4504016535336848,0.48248812727812007,0.48248812727812007,False,-1,False,0.00038580618701509117
2826020179,406,15,2,51,40,aewmai6kvk2mousj7x17ivnc3,1,86.7,53.4,2025-07-06T20:13:40.717Z,2025-07-06T20:14:54Z,5790084667.0,231.0,50.4,5790084445.0,20.0,,5790084245.0,56.0,Center,5790084661.0,146.0,89.0,5790084449.0,82.0,,5790084653.0,102.0,48.4,5790084665.0,230.0,97.1,5790084243.0,17.0,,fpitimhwhx0wqkkrtuc10mvp,G. Viggósdóttir,5790084673.0,233.0,5790084659.0,458.0,,5790084657.0,328.0,5790085809.0,160.0,,,483,,5790084655.0,103.0,19,5790084663.0,147.0,52.5,5790084651.0,78.0,,,,,,,,,,,,,,blocked,right_foot,throw_in_set_piece,13.727709204379291,14.339928501342234,0.0,0.8627229079562071,0.8406674610961974,0.697289401511342,0.697289401511342,False,-1,False,0.01726151568163426
2826020189,407,15,2,51,42,aewmai6kvk2mousj7x17ivnc3,1,89.1,53.8,2025-07-06T20:13:42.401Z,2025-07-06T20:17:22Z,5790084279.0,17.0,,5790084281.0,56.0,Center,5790085983.0,160.0,,5790086093.0,102.0,50.5,5790086103.0,147.0,53.1,5790086099.0,458.0,,5790086097.0,328.0,,5790085985.0,20.0,,fpitimhwhx0wqkkrtuc10mvp,G. Viggósdóttir,5790086107.0,231.0,5790086091.0,78.0,,5790086105.0,230.0,5790086101.0,146.0,,99.3,50.4,91.5,5790085989.0,82.0,,5790086095.0,103.0,19.0,5790087681.0,233.0,482.0,,,,,,,,,,,,,blocked,right_foot,throw_in_set_piece,11.543396380615201,19.21977342591388,0.0,0.884566036193848,0.7864469619342902,0.6897605030578262,0.6897605030578262,False,-1,False,0.018818055533806714
2826020541,504,15,2,53,9,65bdix24paj4i7niwm61pbrx9,1,87.2,28.9,2025-07-06T20:15:09.944Z,2025-07-06T20:31:32Z,5790089963.0,215.0,,5790086951.0,23.0,,5790086195.0,56.0,Center,5790086963.0,102.0,48.1,5790086959.0,55.0,503,5790086973.0,231.0,47.7,5790086853.0,20.0,,5790086953.0,80.0,,7qriv77djurpyvs986k0pppg4,I. Beney,5790086969.0,147.0,5790086971.0,230.0,99.4,5790090055.0,233.0,5790086955.0,29.0,,425,31.0,,5790086957.0,154.0,,5790086857.0,82.0,,5790086965.0,103.0,19.0,5790086193.0,63.0,5790086967.0,146.0,,,,,,,88.6,,blocked,right_foot,fast_break,24.678938388836745,58.75753096404027,0.0,0.7532106161116325,0.347138544843997,0.5054258098978521,0.5054258098978521,True,-1,False,0.004063434351822024
2826021553,549,15,2,57,33,65bdix24paj4i7niwm61pbrx9,1,86.1,24.1,2025-07-06T20:19:33.714Z,2025-07-06T20:20:59Z,5790093593.0,146.0,88.4,5790093589.0,103.0,19,5790093587.0,102.0,48.9,5790093579.0,78.0,,5790093493.0,20.0,,5790091781.0,22.0,,5790093601.0,233.0,451,5790093581.0,29.0,,3420vq0z953hw7ndu07n7jy1g,S. Schertenleib,5790091785.0,56.0,5790093497.0,82.0,,5790093591.0,215.0,5790093595.0,147.0,,,Center,28.2,5790093597.0,230.0,99.3,5790093599.0,231.0,48.4,5790093583.0,55.0,548.0,5790091783.0,63.0,,,,,,,,,,,blocked,right_foot,regular_play,29.39421711833809,61.778454938616385,0.0,0.706057828816619,0.3135727229042624,0.4764949483979263,0.4764949483979263,False,-1,False,0.0037265616301750426
2826021695,556,15,2,58,7,65bdix24paj4i7niwm61pbrx9,1,88.1,42.8,2025-07-06T20:20:07.522Z,2025-07-06T20:23:40Z,5790092557.0,17.0,,5790092823.0,146.0,98.9,5790092559.0,56.0,Center,5790092841.0,233.0,455,5790092813.0,154.0,,5790092809.0,77.0,,5790092555.0,22.0,,5790092821.0,103.0,30.4,7qriv77djurpyvs986k0pppg4,I. Beney,5790092729.0,15.0,5790092825.0,147.0,49.5,5790092819.0,102.0,5790092733.0,328.0,,53.6,,,5790092815.0,55.0,555,5790092811.0,29.0,,,,,,,,,,,,,,,,,on_target,head,regular_play,13.908630414242811,31.175700495738596,1.0,0.8609136958575718,0.6536033278251268,0.8404464766905667,0.8404464766905667,True,-1,False,0.012790474939640264
2826021839,559,13,2,58,51,65bdix24paj4i7niwm61pbrx9,1,72.9,66.4,2025-07-06T20:20:52.054Z,2025-07-06T20:24:04Z,5790094073.0,103.0,4.2,5790093903.0,25.0,,5790094083.0,231.0,51.4,5790094075.0,215.0,,5790094069.0,75.0,,5790094071.0,102.0,28.6,5790093367.0,18.0,,5790093369.0,56.0,Center,7qriv77djurpyvs986k0pppg4,I. Beney,5790094081.0,230.0,5790093905.0,72.0,,5790094079.0,458.0,5790094077.0,328.0,,,98.8,,,,,,,,,,,,,,,,,,,,,,,missed,left_foot,from_corner,31.676016163652903,31.18090246403928,0.5,0.683239838363471,0.6535455281773412,0.6693595937985908,0.6693595937985908,False,-1,False,0.0
2826022877,484,13,2,63,5,aewmai6kvk2mousj7x17ivnc3,1,90.8,49.1,2025-07-06T20:25:05.467Z,2025-07-06T20:25:53Z,5790099613.0,103.0,16.7,5790099607.0,55.0,483,5790099601.0,75.0,,5790099443.0,328.0,,5790099605.0,154.0,,5790099249.0,56.0,Center,5790099611.0,102.0,30.8,5790099435.0,15.0,,9ov9x5gap2t34kv8clhwjqvh1,D. Brynjarsdóttir,5790099247.0,17.0,5790099615.0,230.0,98.5,5790099431.0,25.0,5790099619.0,231.0,,,,50.4,5790099603.0,29.0,,,,,,,,,,,,,,,,,,,,missed,head,from_corner,9.243916918709301,5.587243964204336,0.5,0.907560830812907,0.9379195115088407,0.844400185777815,0.844400185777815,True,-1,False,0.007329241274840063
2826023743,515,13,2,66,46,aewmai6kvk2mousj7x17ivnc3,1,87.2,29.1,2025-07-06T20:28:46.882Z,2025-07-06T20:30:11Z,5790104783.0,458.0,,5790104557.0,20.0,,5790104083.0,63.0,,5790104773.0,75.0,,5790104781.0,328.0,,5790104081.0,22.0,,5790104779.0,108.0,,5790104777.0,103.0,9.7,94ank639ipwrmf820jd76hwtm,H. Halldórsdóttir,5790104085.0,56.0,5790104785.0,230.0,98.4,5790104787.0,231.0,5790104775.0,102.0,,46.4,Center,38.8,,,,,,,,,,,,,,,,,,,,,,missed,right_foot,regular_play,24.508161905781506,58.515022623411156,0.5,0.7549183809421849,0.3498330819620983,0.6069172769655035,0.6069172769655035,False,-1,False,0.002663983034065191
2826026163,587,13,2,74,43,aewmai6kvk2mousj7x17ivnc3,1,78.4,34.2,2025-07-06T20:36:43.778Z,2025-07-06T20:38:14Z,5790117303.0,56.0,Center,5790117583.0,231.0,47.1,5790117573.0,215.0,,5790117301.0,18.0,,5790117577.0,391.0,,5790117395.0,160.0,,5790117581.0,230.0,97.8,5790119271.0,55.0,586,9vgflgmrmvq8i95t3n70sur55,S. Jónsdóttir,5790117397.0,72.0,5790119269.0,29.0,,5790117575.0,328.0,5790119267.0,77.0,,,,,5790117571.0,103.0,55.6,5790117569.0,102.0,69.6,,,,,,,,,,,,,,,,missed,left_foot,throw_in_set_piece,26.76191323504356,36.18477897677685,0.5,0.7323808676495644,0.5979469002580351,0.6723364171372364,0.6723364171372364,False,-1,False,0.0035371149615688606
2826026347,691,16,2,75,22,65bdix24paj4i7niwm61pbrx9,1,90.6,41.3,2025-07-06T20:37:22.520Z,2025-07-06T20:39:14Z,5790118993.0,375.0,75:21.533,5790119783.0,55.0,690,5790118989.0,374.0,2025-07-06 21:37:21.830,5790120945.0,133.0,,5790118267.0,22.0,,5790118269.0,17.0,,5790119791.0,214.0,,5790118271.0,56.0,Center,82attu22oztrh3s274g5yv1t5,G. Reuteler,5790118985.0,20.0,5790119795.0,231.0,46.2,5790119779.0,29.0,5790119777.0,76.0,,,,,5790119781.0,154.0,,5790119793.0,230.0,97.1,5790119787.0,102.0,53.6,5790119789.0,103.0,,,,,,,,2.5,,,goal,right_foot,regular_play,12.80820049811839,42.785244872680764,1.2,0.8719179950188161,0.524608390303547,0.8461497150985905,0.8461497150985905,True,-1,True,1.0
2826027415,623,15,2,78,41,aewmai6kvk2mousj7x17ivnc3,1,88.3,32.5,2025-07-06T20:40:41.883Z,2025-07-06T20:42:24Z,5790123813.0,56.0,Center,5790123809.0,22.0,,5790123949.0,328.0,,5790123947.0,103.0,17.1,5790123935.0,78.0,,5790123951.0,146.0,98.9,5790123941.0,55.0,622,5790123957.0,233.0,705,70n6epbcr1l9dvzqrddsbax2h,K. Vilhjálmsdóttir,5790123937.0,29.0,5790123945.0,102.0,48.8,5790123939.0,154.0,5790123811.0,63.0,,,,,5790123861.0,20.0,,5790123953.0,147.0,46.6,,,,,,,,,,,,,,,,on_target,right_foot,regular_play,21.05089071749697,56.23444400714208,1.0,0.7894910928250303,0.375172844365088,0.7283482904395385,0.7283482904395385,True,-1,False,0.008758576228022591
2826027543,709,14,2,79,12,65bdix24paj4i7niwm61pbrx9,1,80.9,31.0,2025-07-06T20:41:12.608Z,2025-07-06T20:42:50Z,5790124641.0,18.0,,5790124639.0,22.0,,5790125083.0,55.0,708,5790125095.0,231.0,48.4,5790125091.0,215.0,,5790124643.0,56.0,Center,5790125079.0,74.0,,5790125077.0,121.0,,6tm7ijy7e8qnrxoyz2irq23v8,L. Wandeler,5790125081.0,29.0,5790125093.0,230.0,99.0,5790124747.0,72.0,5790125087.0,102.0,,,,51.5,5790125089.0,103.0,39.2,,,,,,,,,,,,,,,,,,,post,left_foot,regular_play,26.94086115921315,44.84961772192842,0.7,0.7305913884078685,0.5016709142007953,0.682737829623386,0.682737829623386,False,-1,False,0.035728559101771105
2826028323,729,13,2,81,41,65bdix24paj4i7niwm61pbrx9,1,88.3,44.9,2025-07-06T20:43:41.574Z,2025-07-06T20:44:27Z,5790130343.0,230.0,99.3,5790130073.0,328.0,,5790130325.0,73.0,,5790129045.0,17.0,,5790129047.0,56.0,Center,5790130327.0,29.0,,5790130329.0,154.0,,5790130341.0,147.0,53.1,3420vq0z953hw7ndu07n7jy1g,S. Schertenleib,5790129043.0,22.0,5790130069.0,15.0,,5790130075.0,153.0,5790130337.0,103.0,,,,9.7,5790130345.0,231.0,49.3,5790130339.0,146.0,91.9,5790130335.0,102.0,61.0,5790130331.0,55.0,,,,,,,,728.0,,,missed,head,regular_play,12.763228431709592,23.55226367289465,0.5,0.872367715682904,0.7383081814122816,0.7704395406968461,0.7704395406968461,True,-1,False,0.006422483740454841
2826029885,789,15,2,86,53,65bdix24paj4i7niwm61pbrx9,1,94.8,58.7,2025-07-06T20:48:54.209Z,2025-07-06T20:49:19Z,5790137937.0,29.0,,5790137945.0,102.0,50.5,5790137939.0,154.0,,5790137941.0,55.0,788,5790138305.0,79.0,,5790137951.0,328.0,,5790137949.0,214.0,,5790137947.0,103.0,24.1,evuecbix95d4iyto12tckcmsq,A. Pilgrim,5790137745.0,20.0,5790138295.0,146.0,98.6,5790137525.0,22.0,5790138311.0,233.0,,,,689,5790137529.0,56.0,Center,5790137527.0,61.0,,5790138297.0,147.0,52.5,,,,,,,,,,,,,on_target,right_foot,regular_play,10.135580891098451,59.13319054886292,1.0,0.8986441910890155,0.34296454945707866,0.7623470412727298,0.7623470412727298,True,-1,False,0.014433352811825142
2826030229,804,13,2,88,7,65bdix24paj4i7niwm61pbrx9,1,76.7,69.4,2025-07-06T20:50:07.764Z,2025-07-06T20:50:15Z,5790139559.0,102.0,55.3,5790139551.0,74.0,,5790139563.0,215.0,,5790139555.0,55.0,803,5790139415.0,22.0,,5790139567.0,231.0,52.0,5790139553.0,29.0,,5790139565.0,230.0,98.8,evuecbix95d4iyto12tckcmsq,A. Pilgrim,5790139417.0,18.0,5790139419.0,56.0,Center,5790139467.0,20.0,5790139561.0,103.0,,,,72.2,,,,,,,,,,,,,,,,,,,,,,missed,right_foot,regular_play,30.319135871591065,39.78137524086861,0.5,0.6968086412840894,0.5579847195459042,0.6461188723774071,0.6461188723774071,False,-1,False,0.0008315572878791586
2826030659,818,16,2,89,40,65bdix24paj4i7niwm61pbrx9,1,80.2,52.8,2025-07-06T20:51:40.847Z,2025-07-06T20:52:57Z,5790142559.0,76.0,,5790142035.0,374.0,2025-07-06 21:51:39.594,5790142573.0,215.0,,5790142031.0,20.0,,5790142039.0,375.0,89:39.297,5790142563.0,133.0,,5790142575.0,230.0,99.0,5790142571.0,103.0,8.2,evuecbix95d4iyto12tckcmsq,A. Pilgrim,5790141627.0,18.0,5790141629.0,56.0,Center,5790142029.0,23.0,5790142569.0,102.0,,,,53.8,5790142565.0,55.0,817,5790142577.0,231.0,49.6,5790142561.0,29.0,,,,,,,,,,,,,,goal,right_foot,fast_break,19.99699977496624,8.049061701674496,1.2,0.8000300022503376,0.9105659810925056,0.9331817952278867,0.9331817952278867,False,-1,True,0.9903187234823837
2826031345,720,13,2,92,20,aewmai6kvk2mousj7x17ivnc3,1,98.0,59.7,2025-07-06T20:54:20.480Z,2025-07-06T20:54:42Z,5790145643.0,55.0,719,5790145653.0,231.0,54.9,5790145489.0,15.0,,5790145487.0,160.0,,5790145641.0,154.0,,5790145493.0,328.0,,5790145637.0,83.0,,5790145639.0,29.0,,fpitimhwhx0wqkkrtuc10mvp,G. Viggósdóttir,5790145391.0,56.0,5790145871.0,214.0,,5790145647.0,102.0,5790145869.0,61.0,,57.6,Center,,5790145649.0,103.0,6.9,5790145651.0,230.0,99.7,,,,,,,,,,,,,,,,missed,head,throw_in_set_piece,9.904039579888606,78.34970056246235,0.5,0.900959604201114,0.1294477715281962,0.5992181731389045,0.5992181731389045,True,-1,False,0.005676576220746824
